actor_url,actor_name,actor_gender,actor_race
https://www.imdb.com/name/nm0265457,Christopher Fairbank,CM,W
https://www.imdb.com/name/nm0385757,Pat Hingle,CM,W
https://www.imdb.com/name/nm0393853,William Hootkins,CM,W
https://www.imdb.com/name/nm0744853,George Roth,CM,W
https://www.imdb.com/name/nm0833380,Richard Strange,CM,W
https://www.imdb.com/name/nm0153704,Carl Chase,CM,W
https://www.imdb.com/name/nm0178059,George Lane Cooper,CM,W
https://www.imdb.com/name/nm0687658,Terence Plummer,CM,W
https://www.imdb.com/name/nm0848883,Philip Tan,CM,A
https://www.imdb.com/name/nm0001284,Michael Gough,CM,W
https://www.imdb.com/name/nm0250136,Keith Edwards,CM,W
https://www.imdb.com/name/nm0378586,Leon Herbert,CM,B
https://www.imdb.com/name/nm0908751,Lee Wallace,CM,W
https://www.imdb.com/name/nm0355717,Jerry Hall,CF,W
https://www.imdb.com/name/nm0570167,Bruce McGuire,CM,W
https://www.imdb.com/name/nm0687746,Steve Plytas,CM,W
https://www.imdb.com/name/nm0048390,Del Baker,CM,?
https://www.imdb.com/name/nm0422498,Jazzer Jeyes,CM,?
https://www.imdb.com/name/nm0584533,Wayne Michaels,CM,?
https://www.imdb.com/name/nm0615651,Valentino Musetti,CM,?
https://www.imdb.com/name/nm0853092,Rocky Taylor,CM,W
https://www.imdb.com/name/nm0353796,Garrick Hagon,CM,W
https://www.imdb.com/name/nm0919998,Anthony Wellington,CM,?
https://www.imdb.com/name/nm0185847,Edwin Craig,CM,?
https://www.imdb.com/name/nm0745183,Paul Rothery,CM,W
https://www.imdb.com/name/nm0910145,Tracey Walter,CF,W
https://www.imdb.com/name/nm0583476,Adrian Meyers,CM,W
https://www.imdb.com/name/nm6561765,Abraham Clinkscales,CM,B
https://www.imdb.com/name/nm1229742,Alejandro Rae,CM,W
https://www.imdb.com/name/nm0097504,Alex Borstein,CF,W
https://www.imdb.com/name/nm1483166,Aidan Cook,CM,W
https://www.imdb.com/name/nm10327924,Adam Quezada,CM,L
https://www.imdb.com/name/nm2029684,Al Coronel,CM,?
https://www.imdb.com/name/nm0000285,Alec Baldwin,CM,W
https://www.imdb.com/name/nm0576538,Ajay Mehta,CM,A
https://www.imdb.com/name/nm0541902,Aasif Mandvi,CM,A
https://www.imdb.com/name/nm0000432,Gene Hackman,CM,W
https://www.imdb.com/name/nm0001659,Christopher Reeve,CM,W
